Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
Roger McCreary,CB,TEN,98%,99%,100%,100%,100%,bye,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,100%,1165,1.00
Camryn Bynum,S,MIN,100%,100%,100%,100%,100%,100%,bye,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1161,1.00
Quandre Diggs,S,SEA,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,bye,100%,100%,100%,100%,100%,100%,100%,1156,1.00
Foyesade Oluokun,LB,JAC,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,bye,100%,100%,100%,100%,100%,74%,100%,1145,0.98
Christian Kirksey,LB,HOU,100%,100%,100%,100%,84%,bye,100%,83%,88%,100%,100%,100%,100%,100%,99%,100%,100%,100%,1141,0.97
Kareem Jackson,S,DEN,100%,100%,100%,100%,100%,100%,98%,100%,bye,100%,100%,100%,100%,100%,100%,94%,100%,100%,1139,1.00
Kevin Byard,S,TEN,98%,76%,100%,100%,100%,bye,100%,100%,100%,100%,100%,100%,92%,100%,100%,100%,92%,100%,1139,0.98
Tyson Campbell,CB,JAC,100%,98%,100%,100%,97%,100%,100%,100%,100%,100%,bye,97%,100%,100%,99%,100%,74%,99%,1138,0.98
D.J. Reed Jr.,CB,NYJ,100%,100%,100%,100%,100%,100%,100%,100%,100%,bye,100%,100%,99%,100%,100%,99%,100%,100%,1136,1.00
Zaire Franklin,LB,IND,100%,100%,100%,100%,100%,100%,100%,100%,100%,96%,100%,100%,100%,bye,100%,100%,100%,98%,1134,1.00
Riq Woolen,CB,SEA,82%,96%,100%,95%,100%,100%,100%,100%,100%,100%,bye,100%,100%,100%,100%,100%,100%,95%,1134,0.98
Demario Davis,LB,NO,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,bye,100%,100%,100%,100%,1132,1.00
Jordan Whitehead,S,NYJ,98%,100%,99%,100%,93%,100%,100%,100%,100%,bye,100%,100%,100%,100%,100%,99%,100%,100%,1130,0.99
Tyrann Mathieu,S,NO,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,bye,99%,100%,100%,100%,1129,1.00
Jevon Holland,S,MIA,100%,100%,100%,98%,100%,100%,100%,100%,100%,100%,bye,100%,100%,100%,86%,100%,95%,100%,1129,0.99
Rayshawn Jenkins,S,JAC,100%,100%,100%,100%,100%,99%,97%,98%,80%,98%,bye,100%,100%,100%,99%,98%,74%,100%,1126,0.97
Nick Bolton,LB,KC,77%,96%,100%,100%,100%,100%,87%,bye,100%,100%,100%,100%,100%,100%,100%,100%,99%,100%,1119,0.97
Richie Grant,S,ATL,98%,100%,100%,100%,95%,100%,100%,100%,100%,100%,100%,100%,100%,bye,100%,100%,100%,100%,1117,1.00
Trevon Diggs,CB,DAL,100%,100%,92%,100%,100%,94%,95%,100%,bye,97%,88%,100%,100%,91%,100%,100%,100%,95%,1116,0.97
Sauce Gardner,CB,NYJ,100%,93%,100%,100%,100%,89%,100%,100%,100%,bye,100%,100%,100%,100%,100%,100%,100%,85%,1115,0.98
C.J. Mosley,LB,NYJ,100%,100%,100%,100%,100%,100%,100%,100%,85%,bye,100%,100%,100%,100%,100%,100%,92%,86%,1114,0.98
Justin Reid,S,KC,77%,100%,100%,91%,100%,99%,90%,bye,98%,100%,100%,100%,97%,99%,98%,100%,100%,100%,1113,0.97
L'Jarius Sneed,CB,KC,88%,100%,100%,100%,100%,100%,87%,bye,100%,100%,94%,91%,100%,100%,100%,100%,80%,100%,1107,0.96
Pat Surtain II,CB,DEN,100%,40%,100%,100%,100%,100%,100%,100%,bye,100%,100%,100%,100%,100%,100%,100%,100%,100%,1106,0.97
Patrick Peterson,CB,MIN,100%,100%,100%,100%,100%,100%,bye,100%,100%,100%,83%,100%,100%,100%,91%,100%,86%,45%,1105,0.95
Rashaan Evans,LB,ATL,98%,86%,100%,100%,100%,100%,100%,98%,100%,91%,100%,100%,100%,bye,100%,100%,100%,100%,1104,0.98
Devin McCourty,S,NE,100%,100%,100%,100%,88%,87%,94%,100%,100%,bye,100%,100%,100%,85%,100%,100%,100%,100%,1098,0.97
Jalen Thompson,S,ARI,100%,99%,100%,100%,100%,100%,100%,100%,99%,100%,100%,100%,bye,100%,96%,96%,98%,92%,1097,0.99
Marcus Epps,S,PHI,100%,100%,100%,100%,100%,100%,bye,100%,100%,100%,100%,100%,82%,100%,100%,100%,100%,100%,1096,0.99
Eric Kendricks,LB,MIN,100%,100%,100%,92%,100%,100%,bye,100%,100%,100%,89%,100%,100%,100%,94%,81%,89%,45%,1095,0.94
Chuck Clark,S,BAL,100%,100%,100%,100%,100%,100%,100%,100%,100%,bye,100%,100%,100%,100%,100%,100%,100%,100%,1093,1.00
Shaq Thompson,LB,CAR,75%,92%,74%,82%,100%,100%,100%,100%,89%,100%,100%,100%,bye,100%,100%,100%,100%,100%,1090,0.94
Jalen Pitre,S,HOU,100%,100%,100%,100%,100%,bye,80%,88%,86%,81%,87%,88%,100%,100%,100%,100%,97%,68%,1089,0.93
Nicholas Morrow,LB,CHI,100%,100%,100%,100%,100%,100%,98%,100%,100%,100%,100%,100%,100%,bye,100%,98%,100%,100%,1086,1.00
Grant Delpit,S,CLE,100%,100%,100%,100%,100%,100%,100%,100%,bye,96%,100%,100%,100%,100%,100%,100%,100%,100%,1086,1.00
Maxx Crosby,DE,LV,96%,94%,91%,96%,90%,bye,94%,92%,97%,97%,100%,100%,97%,97%,98%,100%,97%,100%,1085,0.96
Bobby Wagner,LB,LAR,100%,100%,99%,100%,100%,100%,bye,100%,100%,100%,100%,100%,100%,100%,100%,88%,100%,100%,1080,0.99
Alex Anzalone,LB,DET,92%,91%,99%,100%,88%,bye,89%,97%,95%,98%,95%,100%,100%,97%,98%,100%,73%,100%,1080,0.95
Duron Harmon,S,LV,67%,100%,100%,96%,96%,bye,100%,83%,100%,89%,97%,100%,100%,97%,100%,100%,100%,100%,1078,0.96
James Bradberry,CB,PHI,97%,100%,100%,100%,100%,100%,bye,100%,98%,100%,100%,100%,82%,81%,100%,99%,97%,100%,1078,0.97
Jalen Ramsey,CB,LAR,100%,100%,100%,94%,89%,100%,bye,100%,100%,99%,98%,100%,99%,100%,100%,100%,100%,100%,1077,0.99
Devin White,LB,TB,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,bye,100%,100%,100%,100%,100%,100%,34%,1076,0.96
Lavonte David,LB,TB,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,bye,100%,98%,100%,100%,100%,100%,34%,1075,0.96
Stephon Gilmore,CB,IND,100%,100%,84%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,bye,100%,100%,100%,0%,1063,0.99
John Johnson III,S,CLE,98%,100%,100%,100%,100%,99%,100%,100%,bye,97%,100%,100%,100%,91%,76%,100%,99%,89%,1055,0.97
Juan Thornhill,S,KC,77%,97%,100%,100%,100%,100%,100%,bye,100%,100%,51%,0%,99%,100%,100%,100%,100%,100%,1044,0.95
T.J. Edwards,LB,PHI,100%,92%,96%,96%,96%,97%,bye,99%,93%,94%,97%,100%,78%,75%,97%,95%,94%,100%,1041,0.94
Roquan Smith,LB,Multi,100%,100%,100%,100%,100%,100%,100%,100%,76%,0%,100%,100%,96%,95%,98%,100%,100%,98%,1039,0.98
Tashaun Gipson Sr.,S,SF,98%,100%,99%,100%,100%,98%,100%,100%,bye,95%,86%,100%,100%,95%,100%,90%,100%,85%,1036,0.97
Rodney McLeod Jr.,S,IND,0%,49%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,bye,100%,96%,100%,100%,1029,0.96
Talanoa Hufanga,S,SF,100%,100%,100%,100%,100%,84%,89%,95%,bye,100%,87%,100%,100%,100%,100%,92%,100%,85%,1029,0.96
Fred Warner,LB,SF,100%,100%,100%,100%,88%,100%,100%,100%,bye,100%,86%,100%,100%,95%,100%,92%,100%,67%,1026,0.96
Patrick Queen,LB,BAL,100%,100%,89%,98%,81%,85%,98%,94%,96%,bye,100%,100%,83%,91%,97%,94%,94%,91%,1026,0.94
Jordyn Brooks,LB,SEA,100%,100%,96%,100%,100%,100%,100%,100%,100%,97%,bye,100%,98%,100%,67%,100%,37%,0%,1025,0.94
Vonn Bell,S,CIN,100%,100%,100%,100%,100%,100%,100%,99%,80%,bye,100%,100%,100%,100%,100%,98%,0%,100%,1024,0.99
Zaven Collins,LB,ARI,96%,100%,73%,100%,100%,100%,100%,100%,97%,100%,98%,100%,bye,100%,100%,96%,95%,0%,1024,0.98
Jessie Bates III,S,CIN,97%,98%,100%,100%,100%,100%,94%,99%,80%,bye,100%,100%,96%,100%,100%,100%,0%,100%,1017,0.98
Jerome Baker,LB,MIA,100%,100%,90%,97%,100%,100%,92%,100%,61%,78%,bye,56%,88%,95%,88%,97%,82%,89%,1014,0.89
Julian Love,S,NYG,100%,100%,100%,31%,100%,100%,100%,100%,bye,100%,100%,100%,100%,91%,100%,100%,95%,0%,1006,0.95
Darius Slay,CB,PHI,97%,80%,79%,0%,100%,100%,bye,100%,98%,100%,100%,94%,82%,81%,100%,99%,97%,100%,1000,0.94
Xavier Woods,S,CAR,99%,100%,94%,100%,0%,100%,100%,100%,91%,100%,99%,65%,bye,0%,100%,98%,100%,100%,1000,0.97
Andre Cisco,S,JAC,100%,100%,100%,100%,100%,98%,96%,97%,100%,98%,bye,99%,0%,0%,99%,100%,74%,100%,992,0.97
Marlon Humphrey,CB,BAL,100%,79%,98%,100%,100%,100%,100%,75%,100%,bye,100%,90%,100%,100%,100%,100%,0%,100%,984,0.96
Nick Scott,S,LAR,88%,87%,100%,98%,100%,100%,bye,100%,100%,100%,100%,100%,99%,97%,100%,88%,88%,0%,984,0.97
Kendall Fuller,CB,WAS,100%,100%,91%,100%,100%,100%,100%,100%,100%,100%,100%,98%,100%,bye,100%,0%,100%,91%,979,0.99
Xavien Howard,CB,MIA,100%,88%,88%,63%,0%,100%,100%,100%,100%,99%,bye,100%,100%,99%,100%,97%,0%,100%,979,0.96
Drue Tranquill,LB,LAC,60%,84%,78%,100%,100%,100%,99%,bye,100%,100%,100%,100%,95%,100%,100%,100%,88%,85%,978,0.93
Adrian Amos,S,GB,100%,100%,100%,24%,100%,100%,100%,100%,100%,100%,100%,100%,100%,bye,100%,100%,79%,100%,977,0.95
Taylor Rapp,S,LAR,100%,82%,100%,50%,0%,100%,bye,100%,100%,96%,100%,100%,99%,97%,94%,88%,100%,96%,977,0.94
Asante Samuel Jr.,CB,LAC,100%,100%,100%,100%,97%,100%,100%,bye,98%,94%,100%,100%,100%,100%,58%,83%,73%,69%,972,0.93
Bobby McCain,S,WAS,99%,95%,91%,100%,94%,86%,98%,98%,97%,100%,100%,93%,92%,bye,94%,65%,82%,94%,971,0.93
Jonathan Owens,S,HOU,100%,100%,100%,100%,100%,bye,100%,31%,77%,86%,76%,80%,81%,82%,61%,85%,70%,70%,971,0.83
Taron Johnson,CB,BUF,97%,71%,100%,99%,67%,100%,bye,100%,98%,93%,93%,86%,100%,100%,100%,75%,0%,100%,969,0.92
Budda Baker,S,ARI,93%,100%,100%,100%,100%,100%,100%,100%,99%,80%,100%,100%,bye,100%,99%,100%,0%,0%,968,0.98
Bobby Okereke,LB,IND,100%,93%,89%,70%,100%,89%,100%,61%,46%,100%,100%,80%,84%,bye,96%,74%,97%,57%,968,0.85
Donovan Wilson,S,DAL,82%,100%,100%,100%,85%,80%,93%,80%,bye,81%,95%,78%,69%,92%,70%,75%,58%,85%,960,0.84
Charvarius Ward,CB,SF,100%,100%,96%,100%,88%,38%,98%,90%,bye,100%,85%,98%,100%,100%,78%,84%,96%,67%,959,0.90
Aidan Hutchinson,DE,DET,90%,81%,79%,81%,95%,bye,89%,85%,88%,89%,86%,79%,86%,91%,86%,76%,71%,82%,958,0.84
Christian Wilkins,DT,MIA,72%,76%,68%,84%,85%,94%,81%,85%,86%,82%,bye,72%,90%,82%,88%,95%,90%,89%,955,0.83
Logan Wilson,LB,CIN,100%,100%,100%,100%,100%,83%,0%,100%,59%,bye,100%,100%,100%,97%,100%,100%,0%,100%,955,0.97
Jaylinn Hawkins,S,ATL,98%,57%,100%,100%,85%,100%,78%,0%,100%,100%,100%,100%,100%,bye,100%,92%,72%,87%,955,0.92
Jaquan Brisker,S,CHI,100%,100%,100%,100%,100%,100%,98%,100%,100%,98%,96%,0%,0%,bye,100%,100%,100%,100%,955,1.00
Brian Burns,DE,CAR,81%,77%,81%,89%,93%,78%,96%,97%,66%,95%,99%,92%,bye,96%,85%,86%,83%,0%,951,0.87
Matt Milano,LB,BUF,99%,80%,100%,100%,67%,97%,bye,100%,0%,100%,100%,100%,100%,100%,100%,92%,0%,100%,947,0.96
Chandon Sullivan,CB,MIN,80%,93%,77%,75%,80%,76%,bye,100%,80%,93%,53%,100%,87%,74%,89%,96%,67%,55%,945,0.81
Darious Williams,CB,JAC,69%,66%,100%,41%,41%,75%,91%,93%,100%,98%,bye,62%,95%,94%,95%,98%,73%,92%,943,0.81
Alex Highsmith,LB,PIT,83%,84%,94%,89%,86%,86%,87%,88%,bye,91%,85%,80%,81%,92%,98%,91%,100%,97%,941,0.88
Frankie Luvu,LB,CAR,85%,96%,100%,92%,0%,0%,66%,75%,73%,100%,97%,100%,bye,98%,100%,100%,100%,100%,940,0.92
Steven Nelson,CB,HOU,100%,100%,100%,100%,100%,bye,100%,100%,94%,90%,100%,100%,98%,0%,0%,100%,100%,0%,939,0.99
Minkah Fitzpatrick,S,PIT,100%,100%,100%,99%,96%,0%,100%,100%,bye,0%,100%,100%,100%,100%,100%,100%,94%,100%,939,0.99
Jordan Hicks,LB,MIN,97%,78%,87%,88%,88%,97%,bye,90%,91%,96%,78%,96%,80%,67%,65%,67%,60%,37%,935,0.81
Leonard Floyd,LB,LAR,86%,70%,76%,88%,89%,77%,bye,83%,86%,82%,89%,97%,94%,92%,93%,73%,84%,93%,933,0.86
Cameron Sutton,CB,PIT,99%,100%,96%,100%,54%,0%,50%,100%,bye,100%,100%,100%,100%,100%,100%,100%,100%,100%,931,0.94
Devin Lloyd,LB,JAC,90%,100%,100%,100%,100%,96%,100%,100%,92%,60%,bye,38%,29%,100%,91%,69%,60%,41%,926,0.80
Desmond King II,CB,HOU,76%,50%,59%,74%,72%,bye,68%,47%,63%,32%,100%,100%,92%,99%,100%,95%,97%,100%,918,0.78
Micah Parsons,LB,DAL,100%,84%,83%,85%,71%,94%,71%,72%,bye,95%,67%,67%,71%,73%,84%,96%,74%,70%,918,0.80
Rasul Douglas,CB,GB,66%,63%,97%,100%,48%,65%,80%,80%,95%,100%,100%,100%,100%,bye,100%,100%,100%,100%,914,0.89
Harrison Smith,S,MIN,100%,88%,0%,97%,100%,100%,bye,100%,95%,100%,89%,98%,100%,0%,100%,86%,75%,0%,913,0.95
Lorenzo Carter,LB,ATL,84%,83%,82%,97%,70%,82%,72%,89%,81%,76%,77%,85%,74%,bye,85%,87%,80%,76%,909,0.81
Eli Apple,CB,CIN,97%,97%,100%,100%,100%,100%,34%,0%,59%,bye,100%,100%,98%,100%,100%,100%,0%,100%,908,0.94
Daron Payne,DT,WAS,79%,87%,81%,90%,91%,81%,85%,91%,94%,88%,75%,88%,89%,bye,92%,96%,91%,84%,908,0.87
Tre'von Moehrig,S,LV,37%,0%,0%,83%,96%,bye,75%,100%,94%,100%,100%,100%,100%,100%,100%,100%,100%,100%,908,0.92
Ja'Whaun Bentley,LB,NE,72%,61%,93%,93%,61%,44%,90%,64%,73%,bye,92%,81%,87%,80%,91%,100%,77%,100%,907,0.80
Greg Newsome II,CB,CLE,91%,96%,100%,100%,99%,94%,98%,100%,bye,100%,0%,0%,86%,97%,100%,78%,93%,92%,907,0.95
Danielle Hunter,DE,MIN,79%,75%,83%,85%,80%,82%,bye,86%,83%,80%,69%,91%,79%,67%,92%,83%,57%,45%,906,0.78
Uchenna Nwosu,LB,SEA,89%,72%,72%,81%,84%,83%,75%,80%,78%,63%,bye,73%,84%,81%,84%,75%,86%,69%,904,0.78
Jaire Alexander,CB,GB,100%,100%,9%,0%,100%,100%,100%,98%,98%,100%,100%,99%,100%,bye,100%,100%,79%,100%,901,0.92
Kader Kohou,CB,MIA,32%,42%,76%,77%,100%,0%,0%,95%,99%,99%,bye,100%,100%,99%,100%,97%,98%,100%,898,0.88
Isaiah Simmons,LB,ARI,87%,22%,33%,83%,92%,63%,75%,80%,81%,100%,69%,98%,bye,100%,88%,95%,95%,97%,896,0.81
Cody Barton,LB,SEA,94%,96%,100%,62%,77%,39%,63%,51%,43%,80%,bye,73%,89%,96%,88%,83%,89%,100%,895,0.77
Jonathan Jones,CB,NE,78%,76%,93%,100%,58%,0%,72%,49%,65%,bye,88%,72%,100%,100%,100%,100%,86%,100%,894,0.84
Josh Allen,DE,JAC,82%,86%,84%,90%,72%,83%,73%,82%,78%,62%,bye,69%,67%,72%,69%,81%,77%,80%,894,0.77
Deommodore Lenoir,CB,SF,2%,0%,47%,100%,75%,98%,91%,100%,bye,100%,96%,96%,100%,99%,100%,92%,96%,100%,887,0.87
Terrell Edmunds,S,PIT,100%,100%,94%,39%,0%,100%,100%,98%,bye,100%,98%,88%,93%,100%,96%,0%,96%,94%,886,0.93
Jamel Dean,CB,TB,100%,100%,100%,99%,100%,100%,100%,100%,100%,100%,bye,89%,100%,65%,0%,0%,100%,9%,885,0.90
Nasir Adderley,S,LAC,100%,100%,100%,100%,9%,100%,100%,bye,100%,100%,91%,0%,100%,100%,100%,100%,88%,60%,882,0.90
Kerby Joseph,S,DET,0%,0%,0%,100%,95%,bye,100%,100%,64%,100%,99%,100%,100%,100%,100%,100%,92%,100%,878,0.96
Zach Sieler,DT,MIA,77%,78%,50%,55%,68%,73%,79%,83%,77%,79%,bye,70%,90%,84%,83%,89%,90%,80%,877,0.77
Chris Jones,DT,KC,65%,75%,80%,91%,91%,96%,75%,bye,96%,88%,88%,87%,85%,69%,0%,80%,70%,66%,876,0.81
Lamarcus Joyner,S,NYJ,100%,100%,100%,100%,100%,100%,100%,100%,100%,bye,100%,100%,100%,100%,0%,0%,17%,0%,873,0.94
DeForest Buckner,DT,IND,86%,70%,78%,35%,81%,81%,85%,80%,76%,86%,75%,75%,81%,bye,81%,71%,76%,78%,873,0.77
Derrick Brown,DT,CAR,60%,70%,62%,75%,72%,78%,79%,90%,30%,84%,93%,85%,bye,93%,87%,77%,73%,87%,870,0.75
DeShon Elliott,S,DET,96%,99%,100%,100%,88%,bye,76%,0%,100%,48%,100%,99%,100%,98%,62%,0%,0%,100%,864,0.91
Dexter Lawrence II,DT,NYG,68%,79%,81%,94%,90%,97%,70%,86%,bye,91%,88%,84%,91%,72%,73%,75%,67%,0%,864,0.82
Kyler Gordon,CB,CHI,100%,100%,98%,100%,100%,95%,100%,95%,100%,100%,71%,0%,0%,bye,100%,100%,99%,0%,864,0.97
Khalil Mack,LB,LAC,85%,91%,84%,79%,85%,84%,87%,bye,77%,76%,75%,92%,87%,90%,87%,81%,71%,65%,861,0.82
Malik Hooker,S,DAL,77%,100%,100%,100%,74%,82%,51%,0%,bye,83%,51%,78%,78%,62%,80%,86%,91%,85%,861,0.81
Matthew Judon,LB,NE,82%,81%,80%,78%,55%,70%,70%,85%,68%,bye,82%,87%,80%,72%,76%,82%,79%,68%,860,0.76
Darrick Forrest,S,WAS,96%,100%,49%,44%,50%,56%,72%,67%,65%,100%,100%,100%,100%,bye,100%,100%,100%,100%,850,0.82
Dre Greenlaw,LB,SF,100%,100%,100%,100%,87%,100%,56%,0%,bye,60%,82%,100%,100%,93%,100%,90%,61%,0%,849,0.88
Yetur Gross-Matos,DE,CAR,70%,67%,67%,70%,66%,49%,82%,78%,76%,67%,78%,65%,bye,89%,84%,76%,78%,87%,846,0.73
Damar Hamlin,S,BUF,3%,20%,100%,100%,80%,100%,bye,100%,100%,98%,100%,99%,94%,100%,100%,90%,0%,0%,846,0.86
Quay Walker,LB,GB,61%,78%,85%,86%,85%,69%,73%,25%,100%,100%,86%,100%,100%,bye,96%,96%,71%,74%,846,0.82
Kyzir White,LB,PHI,74%,74%,78%,77%,57%,88%,bye,75%,88%,75%,86%,67%,73%,56%,69%,68%,96%,95%,844,0.76
Joe Tryon-Shoyinka,LB,TB,70%,74%,74%,61%,61%,84%,64%,62%,89%,92%,bye,77%,58%,43%,100%,100%,98%,72%,843,0.75
Jeffery Simmons,DT,TEN,87%,66%,91%,86%,84%,bye,81%,70%,81%,0%,89%,90%,73%,83%,93%,91%,0%,84%,840,0.83
Jaelan Phillips,DE,MIA,70%,76%,67%,66%,56%,73%,80%,82%,82%,63%,bye,62%,65%,74%,77%,83%,88%,86%,840,0.73
Derwin James Jr.,S,LAC,100%,100%,99%,100%,100%,100%,100%,bye,100%,100%,98%,100%,100%,0%,0%,48%,0%,69%,836,0.94
Michael Jackson Sr.,CB,SEA,100%,96%,100%,65%,79%,85%,100%,100%,100%,100%,bye,96%,77%,100%,0%,0%,0%,0%,834,0.92
Jamin Davis,LB,WAS,93%,62%,79%,80%,55%,67%,57%,100%,82%,100%,100%,100%,100%,bye,100%,100%,100%,0%,834,0.85
Deatrich Wise Jr.,DE,NE,83%,90%,75%,88%,88%,84%,46%,92%,73%,bye,78%,87%,72%,64%,53%,58%,72%,54%,829,0.73
Dane Jackson,CB,BUF,97%,43%,0%,99%,73%,82%,bye,100%,95%,100%,100%,100%,52%,100%,53%,59%,0%,57%,829,0.82
Josey Jewell,LB,DEN,0%,0%,95%,100%,43%,0%,0%,100%,bye,100%,100%,100%,100%,100%,100%,100%,100%,100%,826,0.95
Darnell Savage Jr.,S,GB,100%,100%,100%,100%,100%,100%,91%,100%,100%,100%,98%,1%,0%,bye,2%,64%,78%,100%,819,0.81
Myles Garrett,DE,CLE,85%,81%,91%,0%,82%,71%,80%,79%,bye,64%,75%,94%,71%,76%,78%,67%,75%,93%,817,0.79
Haason Reddick,DE,PHI,68%,67%,56%,83%,70%,73%,bye,63%,68%,70%,77%,76%,78%,86%,75%,81%,94%,79%,817,0.74
B.J. Hill,DT,CIN,81%,89%,68%,89%,86%,92%,77%,85%,55%,bye,82%,79%,71%,75%,64%,88%,0%,78%,816,0.79
J.J. Watt,DE,ARI,0%,63%,63%,79%,75%,78%,83%,77%,77%,73%,67%,80%,bye,75%,84%,95%,90%,84%,815,0.78
Jayron Kearse,S,DAL,68%,0%,0%,0%,78%,80%,93%,96%,bye,89%,100%,83%,85%,95%,91%,97%,94%,74%,815,0.88
Mike Edwards,S,TB,100%,100%,100%,99%,98%,0%,100%,100%,100%,100%,bye,85%,0%,0%,48%,97%,95%,0%,814,0.94
Myles Hartsfield,S,CAR,43%,81%,54%,95%,100%,100%,100%,97%,100%,97%,0%,0%,bye,100%,54%,85%,55%,37%,813,0.79
Paulson Adebo,CB,NO,0%,0%,15%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,bye,99%,100%,100%,0%,812,0.94
Jaycee Horn,CB,CAR,95%,90%,94%,97%,69%,0%,0%,100%,91%,100%,99%,97%,bye,94%,100%,65%,0%,0%,812,0.92
Carlton Davis III,CB,TB,100%,100%,100%,75%,56%,100%,0%,0%,96%,100%,bye,100%,100%,100%,100%,100%,0%,0%,810,0.94
Justin Simmons,S,DEN,100%,0%,0%,0%,0%,100%,100%,100%,bye,0%,100%,100%,100%,100%,100%,100%,100%,100%,809,1.00
Grady Jarrett,DT,ATL,74%,0%,85%,82%,73%,80%,74%,80%,74%,82%,72%,76%,71%,bye,75%,85%,68%,71%,807,0.76
Kenny Clark,DT,GB,69%,88%,77%,86%,84%,84%,81%,78%,79%,77%,82%,71%,75%,bye,71%,80%,62%,87%,807,0.78
Bilal Nichols,DT,LV,73%,33%,76%,62%,71%,bye,71%,78%,78%,86%,61%,68%,75%,77%,83%,71%,84%,78%,804,0.71
Cameron Heyward,DT,PIT,57%,76%,78%,67%,71%,75%,77%,68%,bye,83%,79%,69%,61%,89%,85%,89%,88%,84%,801,0.75
Sam Hubbard,DE,CIN,94%,90%,73%,88%,91%,97%,83%,72%,55%,bye,92%,93%,93%,88%,36%,0%,0%,85%,801,0.82
A.J. Terrell,CB,ATL,100%,84%,100%,100%,100%,43%,12%,0%,0%,0%,100%,100%,100%,bye,100%,100%,100%,93%,799,0.88
Damarri Mathis,CB,DEN,0%,60%,0%,4%,59%,100%,100%,100%,bye,100%,100%,100%,100%,100%,100%,100%,32%,0%,795,0.82
Quincy Williams,LB,NYJ,91%,99%,69%,0%,0%,81%,52%,74%,74%,bye,65%,75%,85%,86%,68%,82%,94%,91%,793,0.79
Jeff Okudah,CB,DET,87%,85%,100%,100%,88%,bye,90%,99%,84%,95%,24%,0%,100%,42%,98%,65%,33%,0%,793,0.80
Michael Davis,CB,LAC,100%,0%,100%,0%,0%,55%,45%,bye,98%,94%,100%,100%,100%,100%,100%,100%,96%,95%,791,0.91
Cameron Jordan,DE,NO,81%,79%,80%,83%,67%,74%,74%,71%,57%,58%,0%,69%,70%,bye,74%,87%,82%,80%,790,0.74
Travon Walker,DE,JAC,83%,90%,84%,87%,81%,84%,87%,85%,78%,71%,bye,75%,72%,51%,0%,0%,37%,84%,788,0.77
Chandler Jones,LB,LV,90%,90%,69%,89%,85%,bye,66%,62%,77%,71%,75%,88%,88%,88%,92%,43%,0%,0%,784,0.78
Alim McNeill,DT,DET,68%,59%,81%,77%,83%,bye,83%,66%,70%,87%,62%,60%,71%,62%,49%,72%,54%,68%,782,0.69
Martin Emerson Jr.,CB,CLE,79%,74%,78%,18%,42%,94%,98%,98%,bye,55%,91%,100%,57%,84%,49%,50%,64%,82%,782,0.72
Markus Golden,LB,ARI,40%,75%,67%,71%,56%,81%,74%,83%,66%,78%,62%,76%,bye,69%,71%,78%,79%,69%,781,0.70
Grover Stewart,DT,IND,56%,68%,63%,70%,67%,65%,75%,64%,75%,70%,76%,71%,71%,bye,62%,72%,73%,68%,778,0.68
Marco Wilson,CB,ARI,96%,97%,100%,98%,93%,88%,78%,97%,84%,100%,71%,86%,bye,25%,0%,73%,0%,0%,777,0.85
Preston Smith,LB,GB,85%,90%,0%,84%,80%,78%,78%,76%,81%,86%,86%,74%,79%,bye,73%,76%,59%,92%,774,0.80
Kenny Moore II,CB,IND,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,87%,0%,bye,0%,0%,0%,0%,773,0.99
Alex Singleton,LB,DEN,96%,97%,0%,0%,54%,100%,100%,25%,bye,53%,65%,53%,88%,87%,74%,88%,67%,99%,772,0.76
Za'Darius Smith,LB,MIN,74%,74%,81%,40%,74%,77%,bye,69%,73%,75%,35%,85%,75%,64%,80%,78%,52%,0%,771,0.70
Mykal Walker,LB,ATL,100%,98%,100%,100%,57%,0%,100%,100%,100%,89%,74%,68%,74%,bye,24%,15%,16%,13%,769,0.72
Antoine Winfield Jr.,S,TB,100%,100%,100%,100%,100%,100%,56%,0%,0%,100%,bye,66%,0%,0%,27%,93%,100%,100%,764,0.88
CJ Henderson,CB,CAR,46%,67%,78%,42%,40%,68%,49%,51%,50%,70%,100%,83%,bye,100%,0%,92%,97%,100%,761,0.70
Tremaine Edmunds,LB,BUF,99%,80%,100%,100%,0%,100%,bye,100%,100%,36%,0%,0%,100%,100%,100%,92%,0%,100%,760,0.92
Coby Bryant,CB,SEA,3%,66%,67%,78%,48%,75%,96%,72%,86%,65%,bye,69%,91%,51%,38%,62%,63%,84%,756,0.65
Jordan Poyer,S,BUF,97%,80%,0%,100%,0%,100%,bye,74%,0%,0%,100%,100%,100%,100%,100%,92%,0%,100%,755,0.96
Isaiah Buggs,DT,DET,52%,54%,53%,69%,83%,bye,84%,82%,80%,92%,64%,58%,61%,49%,57%,68%,60%,70%,755,0.66
